license_core,concurrency_limit_core,license_premium_es,license_premium_itsi,license_premium_vmware,license_premium_exchange,license_premium_pci,concurrency_limit_premium
47000,0,48000,48000,48000,48000,48000,38
47250,0,48250,48250,48250,48250,48250,38
47500,0,48500,48500,48500,48500,48500,38
47750,0,48750,48750,48750,48750,48750,38
48000,0,49000,49000,49000,49000,49000,38
48250,0,49250,49250,49250,49250,49250,38
48500,0,49500,49500,49500,49500,49500,38
48750,0,49750,49750,49750,49750,49750,38
49000,0,50000,50000,50000,50000,50000,38
49250,0,,,,,,
49500,0,,,,,,
49750,0,,,,,,
50000,0,,,,,,
